Ticker,Name,Sector,Current Price,Forward PE,Forward Looking EPS,Forecast Dividend per Share,WACC,Trailing EPS
AAF.L,Airtel Africa Plc,Communication Services,357.0,19.300695,0.18496743,0.05,0.0759,0.11
AAL.L,Anglo American plc,Basic Materials,3379.0,19.735106,1.7121773,0.17,0.0878,-0.78
ABF.L,Associated British Foods plc,Consumer Defensive,1887.0,10.419945,1.81095,0.63,0.0877,1.42
ADM.L,Admiral Group plc,Financial Services,3078.0,12.552455,2.45211,1.59,0.0678,2.43
ALW.L,Alliance Witan Plc,Financial Services,1260.0,,,0.28,0.0736,0.36
ANTO.L,Antofagasta plc,Basic Materials,3857.0,29.46963,1.3088051,0.48,0.0997,1.01
AUTO.L,Autotrader Group plc,Communication Services,472.70001220703125,12.112749,0.39025,0.11,0.0824,0.33
AV.L,Aviva plc,Financial Services,645.5999755859375,9.831871,0.65664,0.37,0.0779,0.26
AZN.L,AstraZeneca PLC,Healthcare,14774.0,16.968683,8.706627,2.36,0.068,4.89
BA.L,BAE Systems plc,Industrials,2150.0,22.96248,0.93631,0.36,0.0611,0.68
BAB.L,Babcock International Group PLC,Industrials,1354.0,21.7102,0.62367,0.07,0.0891,0.56
BARC.L,Barclays PLC,Financial Services,417.0,6.6716795,0.62503,0.09,0.0848,0.42
BATS.L,British American Tobacco p.l.c.,Consumer Defensive,4388.0,11.39761,3.84993,2.45,0.063,3.49
BBOX.L,Tritax Big Box REIT plc,Real Estate,162.6999969482422,16.995716,0.09573,0.08,0.0939,0.17
BEZ.L,Beazley plc,Financial Services,1288.0,11.763512,1.0949111,0.25,0.0698,1.08
BKG.L,The Berkeley Group Holdings plc,Consumer Cyclical,4020.0,11.610612,3.46235,0.67,0.0966,3.67
BLND.L,British Land Company PLC,Real Estate,385.79998779296875,12.594671,0.30632,0.23,0.096,0.45
BNZL.L,Bunzl plc,Consumer Defensive,2234.0,12.041958,1.85518,0.74,0.0716,1.45
BP.L,BP p.l.c.,Energy,491.95001220703125,13.107195,0.3753282,0.24,0.0629,0.0
BRBY.L,Burberry Group plc,Consumer Cyclical,1101.5,27.096504,0.40651,,0.0819,-0.07
BT-A.L,BT Group plc,Communication Services,207.39999389648438,11.040724,0.18785,0.08,0.0741,0.1
BTRW.L,Barratt Redrow plc,Consumer Cyclical,322.29998779296875,9.310992,0.34615,0.17,0.1,0.15
CCEP.L,Coca-Cola Europacific Partners PLC,Consumer Defensive,7680.0,17.843765,4.304024,1.76,0.0728,3.71
CCH.L,Coca-Cola HBC AG,Consumer Defensive,4542.0,16.271513,2.7913816,0.88,0.0764,2.18
