Asset_ID,Ticker,Exchange
7078,VOD.L,FTSE
2050,LLOY.L,FTSE
2694,FXPO.L,FTSE
2035,GLEN.L,FTSE
2077,SBRY.L,FTSE
2047,KGF.L,FTSE
2019,BP.L,FTSE
2122,HBR.L,FTSE
2695,VSVS.L,FTSE
2088,TATE.L,FTSE
2704,INCH.L,FTSE
2072,RR.L,FTSE
2057,NG.L,FTSE
2135,ENOG.L,FTSE
6885,UMC,FTSE
2094,UU.L,FTSE
2029,DGE.L,FTSE
3030,LQDE.L,FTSE
2043,IMB.L,FTSE
2085,SSE.L,FTSE
9450,ACHR,Nasdaq
2171,SHEL.L,FTSE
2014,BATS.L,FTSE
2064,RKT.L,FTSE
1034,VZ,NYSE
6452,IRDM,Nasdaq
13582,BMNR,NYSE
9427,ONON,NYSE
7996,U,NYSE
1462,CVS,NYSE
4255,CCI,NYSE
8790,Tem,Nasdaq
9085,RKLB,Nasdaq
6916,RKLX,NYSE
1043,PEP,NYSE
5604,KTOS,Nasdaq
4409,ROKU,NYSE
4148,SHOP,Nasdaq
1832,AMD,Nasdaq
1111,TSLA,Nasdaq
100000,BTC,All
